model,task,classifier,auc,params
gemma4_31b,refusal_gemma4_31b,direction_only,0.9284715284715285,"{""best_layer_col"": 12}"
gemma4_31b,refusal_gemma4_31b,logistic,0.9261738261738262,"{""C"": 1.0}"
gemma4_31b,refusal_gemma4_31b,tree,0.8672827172827173,"{""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 2}"
gemma4_31b,refusal_gemma4_31b,svm,0.9249750249750249,"{""C"": 1.0, ""kernel"": ""linear""}"
gemma4_31b,refusal_gemma4_31b,xgboost,0.9296453546453547,"{""subsample"": 0.6, ""max_depth"": 3, ""learning_rate"": 0.05, ""colsample_bytree"": 0.6}"
gemma4_31b,cyber_probe1,direction_only,0.9549222979688725,"{""best_layer_col"": 12}"
gemma4_31b,cyber_probe1,logistic,0.9565418211157753,"{""C"": 0.01}"
gemma4_31b,cyber_probe1,tree,0.9498210923888258,"{""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 2}"
gemma4_31b,cyber_probe1,svm,0.9526128696546966,"{""C"": 0.1, ""kernel"": ""rbf""}"
gemma4_31b,cyber_probe1,xgboost,0.9674458307510612,"{""subsample"": 0.6, ""max_depth"": 3, ""learning_rate"": 0.2, ""colsample_bytree"": 1.0}"
gemma4_31b,cyber_probe2,direction_only,0.9249770079513645,"{""best_layer_col"": 11}"
gemma4_31b,cyber_probe2,logistic,0.929059192935239,"{""C"": 0.01}"
gemma4_31b,cyber_probe2,tree,0.8984265169113721,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 10}"
gemma4_31b,cyber_probe2,svm,0.9275957208477111,"{""C"": 0.1, ""kernel"": ""linear""}"
gemma4_31b,cyber_probe2,xgboost,0.9346148737880622,"{""subsample"": 0.6, ""max_depth"": 3, ""learning_rate"": 0.05, ""colsample_bytree"": 0.6}"
gemma4_31b,cyber_probe3,direction_only,0.8272463492713161,"{""best_layer_col"": 10}"
gemma4_31b,cyber_probe3,logistic,0.8370830348920495,"{""C"": 0.01}"
gemma4_31b,cyber_probe3,tree,0.8405638347634152,"{""max_depth"": 5, ""min_samples_leaf"": 2, ""min_samples_split"": 10}"
gemma4_31b,cyber_probe3,svm,0.8424220885530104,"{""C"": 0.1, ""kernel"": ""rbf""}"
gemma4_31b,cyber_probe3,xgboost,0.8522080696086887,"{""subsample"": 0.8, ""max_depth"": 3, ""learning_rate"": 0.01, ""colsample_bytree"": 1.0}"
qwen36,refusal_qwen36,direction_only,0.8490657216494846,"{""best_layer_col"": 12}"
qwen36,refusal_qwen36,logistic,0.838219501718213,"{""C"": 100.0}"
qwen36,refusal_qwen36,tree,0.7492214347079038,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 2}"
qwen36,refusal_qwen36,svm,0.8292525773195877,"{""C"": 1.0, ""kernel"": ""linear""}"
qwen36,refusal_qwen36,xgboost,0.8708655498281787,"{""subsample"": 0.6, ""max_depth"": 6, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}"
qwen36,cyber_probe1,direction_only,0.9510311044121678,"{""best_layer_col"": 13}"
qwen36,cyber_probe1,logistic,0.9674282908559422,"{""C"": 10.0}"
qwen36,cyber_probe1,tree,0.9545680323376268,"{""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 2}"
qwen36,cyber_probe1,svm,0.9650446469352334,"{""C"": 10.0, ""kernel"": ""linear""}"
qwen36,cyber_probe1,xgboost,0.9647620352608021,"{""subsample"": 0.6, ""max_depth"": 3, ""learning_rate"": 0.2, ""colsample_bytree"": 1.0}"
qwen36,cyber_probe2,direction_only,0.9203720325075998,"{""best_layer_col"": 12}"
qwen36,cyber_probe2,logistic,0.9428011024997003,"{""C"": 100.0}"
qwen36,cyber_probe2,tree,0.9100611657442486,"{""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 10}"
qwen36,cyber_probe2,svm,0.942094309213503,"{""C"": 1.0, ""kernel"": ""linear""}"
qwen36,cyber_probe2,xgboost,0.9387217557821316,"{""subsample"": 0.6, ""max_depth"": 3, ""learning_rate"": 0.05, ""colsample_bytree"": 0.6}"
qwen36,cyber_probe3,direction_only,0.8184848964497573,"{""best_layer_col"": 12}"
qwen36,cyber_probe3,logistic,0.8480354772448477,"{""C"": 0.01}"
qwen36,cyber_probe3,tree,0.8278578392048378,"{""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 10}"
qwen36,cyber_probe3,svm,0.8529661199866179,"{""C"": 0.1, ""kernel"": ""linear""}"
qwen36,cyber_probe3,xgboost,0.8511678855749134,"{""subsample"": 0.8, ""max_depth"": 3, ""learning_rate"": 0.01, ""colsample_bytree"": 1.0}"
